,id,level,rok,gdp_ppp_mean,gdp_ppp_lower,gdp_ppp_upper,gdp_usd_mean,gdp_usd_lower,gdp_usd_upper
3451,45,Country,2044,27231.8401990615,19881.2772875131,35849.9649005858,11139.1072925014,8367.9550381011,14339.9883316741
3452,45,Country,2045,27392.0272071545,19792.5269887483,36427.4032726107,11204.505929681,8287.4685317725,14636.393204575
3453,45,Country,2046,27532.1205739086,19655.9454412652,36958.591676747,11261.5666337095,8177.96704982862,14735.6895281189
3454,45,Country,2047,27675.6230437366,19375.4254343907,37526.3707462821,11320.0251085772,8083.19756466013,14945.7664161566
3455,45,Country,2048,27802.0681048585,19263.6376524544,38042.4590899412,11371.6581058559,8031.89159142838,15177.0363632696
3456,45,Country,2049,27930.6131972837,19211.5684860996,38495.3643398291,11424.1073320799,8053.81853489038,15441.835299468
3457,45,Country,2050,28070.5724611924,19027.5762255875,39230.5641526322,11481.2432262656,7909.3901025208,15700.9457383657
3458,46,Country,1960,7476.68753221315,5264.51100085751,9839.27462478258,4472.71946003182,4100.82458469577,4852.6954654303
3459,46,Country,1961,7917.67026809484,5666.30281815828,10347.1409726622,4728.17463672085,4317.69544595872,5132.767790034
3460,46,Country,1962,8051.4459092003,5783.56719085449,10473.3769478063,4803.89774564109,4387.43498738805,5223.41206481804
3461,46,Country,1963,8765.85035429604,6303.45224857486,11329.7893263912,5217.4271293691,4767.23102835001,5664.30375868717
3462,46,Country,1964,9450.14382705125,6892.88585198787,12080.9469619081,5612.08091889404,5142.10019821098,6108.11818605679
3463,46,Country,1965,9638.35916723019,7056.19566138058,12316.7950062402,5718.33401715807,5236.21573303485,6238.04663721505
3464,46,Country,1966,10201.239390085,7512.6460782603,13009.5652654254,6041.06290557602,5538.91001243209,6587.98263936961
3465,46,Country,1967,10448.5779728138,7779.02528893663,13265.7736191331,6180.83891934549,5667.40191396134,6735.0612309462
3466,46,Country,1968,10805.538996353,8122.8249453372,13673.2923955566,6383.54011192535,5855.19700539061,6980.97815768842
3467,46,Country,1969,11485.3413562463,8710.01394996569,14403.0390356818,6771.50489444624,6230.08662512605,7417.39954742282
3468,46,Country,1970,12160.3022974297,9253.11862585646,15112.64298513,7155.54937674706,6590.60688773177,7841.05212142358
